,USAF,WBAN,STATION NAME,CTRY,ST,CALL,LAT,LON,ELEV(M),BEGIN,END
2875,080870, 99999 ,BARDENAS REALES               ,SP   ,   ,      ,42.2,-1.45,295.0,1970-01-19,2021-06-01
2876,080910, 99999 ,JACA                          ,SP   ,   ,      ,42.567,-3.133,828.0,1983-06-13,2021-06-01
2877,080940, 99999 ,HUESCA-PIRINEOS               ,SP   ,   ,LEHC  ,42.083,-0.33299999999999996,554.0,1973-01-02,2021-06-01
2878,080960, 99999 ,CANDANCHU                     ,SP   ,   ,      ,42.783,-0.5329999999999999,1608.0,1973-01-05,2021-06-01
2879,081120, 99999 ,TALAR                         ,SP   ,   ,      ,42.2,0.867,800.0,1984-05-03,2021-06-01
2880,081170, 99999 ,LA MOLINA                     ,SP   ,   ,      ,42.333,1.933,1702.0,1973-01-03,2021-06-01
2881,081300, 99999 ,ZAMORA                        ,SP   ,   ,      ,41.516999999999996,-5.733,667.0,1973-01-01,2021-06-01
2882,081400, 99999 ,VALLADOLID                    ,SP   ,   ,LEVD  ,41.706,-4.852,845.8,1973-01-01,2021-06-01
2883,081410, 99999 ,VALLADOLID                    ,SP   ,   ,      ,41.633,-4.75,735.0,1973-01-01,2021-06-01
2884,081480, 99999 ,SORIA                         ,SP   ,   ,      ,41.783,-2.483,1082.0,1973-01-01,2021-06-01
2885,081570, 99999 ,DAROCA I                      ,SP   ,   ,      ,41.117,-1.4169999999999998,779.0,1973-01-01,2021-04-19
2886,081600, 99999 ,ZARAGOZA AB                   ,SP   ,   ,LEZG  ,41.666000000000004,-1.042,263.0,1973-01-01,2021-06-01
2887,081605, 99999 ,ZARAGOZA (USAFB)              ,SP   ,   ,LEZA  ,41.667,-1.05,263.0,1957-07-01,2001-01-08
2888,081606, 99999 ,ZARAGOZA (MIL/CIV)&           ,SP   ,   ,      ,41.667,-1.033,263.0,1977-04-27,1983-02-09
2889,081610, 99999 ,ZARAGOZA                      ,SP   ,   ,      ,41.633,-0.9,222.0,1973-01-01,2005-06-14
2890,081620, 99999 ,PERDIGUERA                    ,SP   ,   ,      ,41.733000000000004,-0.55,820.0,2004-12-01,2005-04-04
2891,081710, 99999 ,LERIDA                        ,SP   ,   ,      ,41.633,0.6,199.0,1973-01-01,2021-06-01
2892,081750, 99999 ,REUS                          ,SP   ,   ,LERS  ,41.147,1.167,71.3,1973-01-01,2021-06-01
2893,081760, 99999 ,TARRAGONA                     ,SP   ,   ,      ,41.117,1.25,64.0,1973-01-01,2004-01-05
2894,081763, 99999 ,SABADELL                      ,SP   ,   ,LELL  ,41.516999999999996,2.1,250.0,2000-08-30,2021-06-01
2895,081800, 99999 ,BARCELONA CITY                ,SP   ,   ,      ,41.417,2.133,176.0,1973-01-01,2021-06-01
2896,081810, 99999 ,BARCELONA                     ,SP   ,   ,LEBL  ,41.297,2.0780000000000003,3.7,1973-01-01,2021-06-01
2897,081820, 99999 ,MONTSENY MTN RANGE            ,SP   ,   ,      ,41.783,2.4330000000000003,1708.0,1973-05-02,2006-01-11
2898,081830, 99999 ,GERONA-IN-CATALUNA            ,SP   ,   ,      ,41.983000000000004,2.833,98.0,1973-01-01,1978-08-08
2899,081840, 99999 ,GIRONA                        ,SP   ,   ,LEGE  ,41.901,2.761,142.6,1973-11-29,2021-06-01
2900,081860, 99999 ,SAN LORENZO                   ,SP   ,   ,      ,41.633,2.017,1092.0,1973-11-08,2021-06-01
2901,082010, 99999 ,SALAMANCA                     ,SP   ,   ,      ,40.95,-5.65,787.0,1975-11-05,2021-06-01
2902,082020, 99999 ,SALAMANCA                     ,SP   ,   ,LESA  ,40.952,-5.502000000000001,791.0,1973-01-01,2021-06-01
2903,082100, 99999 ,AVILA                         ,SP   ,   ,      ,40.667,-4.683,1132.0,1973-01-01,2021-06-01
2904,082130, 99999 ,SEGOVIA                       ,SP   ,   ,      ,40.95,-4.133,1005.0,1973-01-01,2021-06-01
2905,082150, 99999 ,NAVACERRADA PUERTO            ,SP   ,   ,      ,40.8,-4.0169999999999995,1888.0,1973-01-01,2021-06-01
2906,082190, 99999 ,MADRI-COLMENAR                ,SP   ,   ,LECV  ,40.65,-3.733,-999.9,1997-05-06,2021-06-01
2907,082200, 99999 ,MADRID/C. UNIVERSITARIA       ,SP   ,   ,      ,40.45,-3.717,669.0,1979-12-01,2021-06-01
2908,082204, 99999 ,MADRI-COLMENAR                ,SP   ,   ,      ,40.65,-3.733,0.0,1992-08-07,1993-08-20
2909,082210, 99999 ,BARAJAS                       ,SP   ,   ,LEMD  ,40.494,-3.5669999999999997,609.6,1931-01-02,2021-06-01
2910,082211, 99999 ,MADRID WEATHER CENTER         ,SP   ,   ,LEMM  ,40.483000000000004,-3.583,633.0,2004-12-09,2014-03-19
2911,082220, 99999 ,MADRID RETIRO                 ,SP   ,   ,      ,40.417,-3.6830000000000003,667.0,1999-04-12,2021-06-01
2912,082230, 99999 ,CUATRO VIENTOS                ,SP   ,   ,LEVS  ,40.371,-3.785,691.0,1973-07-19,2021-06-01
2913,082240, 99999 ,GETAFE                        ,SP   ,   ,LEGT  ,40.294000000000004,-3.7239999999999998,618.4,1973-01-01,2021-06-01
2914,082260, 99999 ,GUADALAJARA                   ,SP   ,   ,      ,40.667,-3.167,640.0,1973-01-01,2021-06-01
2915,082270, 99999 ,TORREJON                      ,SP   ,   ,LETO  ,40.497,-3.446,617.5,1957-10-01,2021-06-01
2916,082310, 99999 ,CUENCA                        ,SP   ,   ,      ,40.067,-2.133,946.0,1973-01-01,2021-06-01
2917,082320, 99999 ,MOLINA DE ARAGON              ,SP   ,   ,      ,40.85,-1.883,1063.0,1973-01-02,2021-06-01
2918,082330, 99999 ,CALAMOCHA                     ,SP   ,   ,LECH  ,40.933,-1.3,889.0,1973-01-01,2021-06-01
2919,082350, 99999 ,TERUEL                        ,SP   ,   ,      ,40.35,-1.117,902.0,1973-01-01,2021-06-01
2920,082380, 99999 ,TORTOSA                       ,SP   ,   ,      ,40.817,0.5,50.0,1973-01-01,2021-06-01
2921,082610, 99999 ,CACERES                       ,SP   ,   ,      ,39.467,-6.332999999999999,405.0,1973-01-01,2021-06-01
2922,082620, 99999 ,SIERRA DE FUENTES             ,SP   ,   ,      ,39.433,-6.2829999999999995,667.0,2005-01-06,2005-12-24
2923,082720, 99999 ,TOLEDO                        ,SP   ,   ,      ,39.883,-4.05,516.0,1973-01-01,2021-06-01
2924,082800, 99999 ,ALBACETE                      ,SP   ,   ,LEAB  ,38.949,-1.864,701.6,1973-01-01,2021-06-01
2925,082820, 99999 ,INIESTA                       ,SP   ,   ,      ,39.433,-1.75,762.0,1975-11-01,1978-10-03
2926,082840, 99999 ,VALENCIA                      ,SP   ,   ,LEVC  ,39.489000000000004,-0.48200000000000004,68.6,1973-01-01,2021-06-01
2927,082850, 99999 ,VALENCIA VIVEROS              ,SP   ,   ,      ,39.483000000000004,-0.38299999999999995,11.0,1973-01-01,2021-06-01
2928,082860, 99999 ,CASTELLON-ALMAZORA            ,SP   ,   ,      ,39.95,-0.067,43.5,1973-01-01,2021-06-01
2929,082900, 99999 ,ALCIRA/ALZIRA                 ,SP   ,   ,      ,39.15,-0.433,20.0,1973-01-02,2021-06-01
2930,083010, 99999 ,PALMA DE MALLORCA CMT         ,SP   ,   ,      ,39.55,2.633,6.0,1980-04-18,2021-06-01
2931,083030, 99999 ,ALFABIA MTN RANGE             ,SP   ,   ,      ,39.733000000000004,2.717,1015.0,1973-01-01,2021-06-01
2932,083060, 99999 ,PALMA DE MALLORCA             ,SP   ,   ,LEPA  ,39.55,2.733,8.0,1973-01-01,2021-06-01
2933,083070, 99999 ,POLLENSA                      ,SP   ,   ,      ,39.9,3.1,7.0,1973-01-02,1978-06-02
2934,083140, 99999 ,MENORCA                       ,SP   ,   ,LEMH  ,39.863,4.218999999999999,90.8,1931-01-03,2021-06-01
2935,083300, 99999 ,TALAVERA LA REAL              ,SP   ,   ,LEBZ  ,38.891,-6.821000000000001,185.6,1973-01-01,2021-06-01
2936,083350, 99999 ,HINOJOSA DEL DUQUE            ,SP   ,   ,LEHI  ,38.516999999999996,-5.117,540.0,1973-01-01,2021-06-01
2937,083480, 99999 ,CIUDAD REAL                   ,SP   ,   ,LERL  ,38.983000000000004,-3.917,629.0,1973-01-01,2021-06-01
2938,083550, 99999 ,BOGUS SPANISH                 ,SP   ,   ,      ,,,,1983-04-01,2001-11-29
2939,083590, 99999 ,ALICANTE                      ,SP   ,   ,      ,38.367,-0.5,82.0,1973-01-01,2021-06-01
2940,083600, 99999 ,ALICANTE                      ,SP   ,   ,LEAL  ,38.282,-0.5579999999999999,43.3,1973-01-01,2021-06-01
2941,083610, 99999 ,AITANA (PEAK)                 ,SP   ,   ,      ,38.65,-0.267,1497.0,1973-01-03,2005-10-17
2942,083620, 99999 ,BENIDORM                      ,SP   ,   ,      ,38.533,-0.15,10.0,1976-02-01,1984-06-29
2943,083650, 99999 ,DENIA                         ,SP   ,   ,      ,38.833,0.11699999999999999,15.0,1973-01-02,2021-06-01
2944,083730, 99999 ,IBIZA                         ,SP   ,   ,LEIB  ,38.873000000000005,1.3730000000000002,6.1,1973-01-01,2021-06-01
2945,083830, 99999 ,HUELVA                        ,SP   ,   ,      ,37.283,-6.917000000000001,20.0,1973-01-01,2021-06-01
2946,083840, 99999 ,EL ARENOSILLO                 ,SP   ,   ,      ,37.1,-6.733,41.0,2002-04-30,2007-03-07
2947,083900, 99999 ,SEVILLA/TABLADA               ,SP   ,   ,      ,37.367,-6.0,14.0,1973-01-01,2005-12-06
2948,083905, 99999 ,SEVILLA HELIPORT              ,SP   ,   ,LEEC  ,37.317,-6.0,5.0,2007-06-29,2021-06-01
2949,083910, 99999 ,SEVILLA                       ,SP   ,   ,LEZL  ,37.418,-5.893,33.8,1973-01-01,2021-06-01
2950,083970, 99999 ,MORON AB                      ,SP   ,   ,LEMO  ,37.175,-5.6160000000000005,86.9,1958-01-02,2021-06-01
2951,084100, 99999 ,CORDOBA                       ,SP   ,   ,LEBA  ,37.842,-4.849,90.5,1973-01-01,2021-06-01
2952,084170, 99999 ,JAEN                          ,SP   ,   ,      ,37.783,-3.8169999999999997,580.0,1973-02-01,2021-06-01
2953,084190, 99999 ,GRANADA                       ,SP   ,   ,LEGR  ,37.189,-3.7769999999999997,566.9,1973-01-01,2021-06-01
2954,084200, 99999 ,GRANADA / ARMILLA             ,SP   ,   ,      ,37.133,-3.617,717.0,1973-01-01,2004-01-08
2955,084290, 99999 ,ALCANTARILLA                  ,SP   ,   ,LERI  ,37.951,-1.23,76.2,1973-01-01,2021-06-01
2956,084300, 99999 ,MURCIA                        ,SP   ,   ,      ,38.0,-1.167,62.0,1973-01-01,2021-06-01
2957,084310, 99999 ,CASTILLO GALERAS              ,SP   ,   ,      ,37.583,-1.0,217.0,1973-01-01,2004-08-05
2958,084330, 99999 ,MURCIA SAN JAVIER             ,SP   ,   ,LELC  ,37.775,-0.812,3.4,1973-01-01,2021-06-01
2959,084490, 13025 ,ROTA NAVAL AIR STATION        ,SP   ,   ,LERT  ,36.65,-6.35,25.6,1973-01-01,2021-06-01
2960,084510, 99999 ,JEREZ                         ,SP   ,   ,LEJR  ,36.745,-6.06,28.3,1973-01-01,2021-06-01
2961,084515, 99999 ,LLEIDA-ALGUAIRE AIRPORT       ,SP   ,   ,LEDA  ,41.728,0.536,350.0,2010-01-14,2021-06-01
2962,084520, 99999 ,CADIZ OBS                     ,SP   ,   ,      ,36.5,-6.25,9.0,1973-01-01,2021-06-01
2963,084530, 99999 ,SAN FERNANDO                  ,SP   ,   ,      ,36.467,-6.2,30.0,1931-01-03,2021-06-01
2964,084580, 99999 ,TARIFA                        ,SP   ,   ,      ,36.0,-5.6,25.0,1973-01-01,2021-06-01
2965,084750, 99999 ,ALHAURIN EL GRANDE            ,SP   ,   ,      ,36.617,-4.667,1147.0,2005-06-04,2005-12-21
2966,084820, 99999 ,MALAGA                        ,SP   ,   ,LEMG  ,36.675,-4.499,15.8,1973-01-01,2021-06-01
2967,084840, 99999 ,MALAGA                        ,SP   ,   ,      ,36.717,-4.417,54.0,1975-12-15,1975-12-15
2968,084870, 99999 ,ALMERIA                       ,SP   ,   ,LEAM  ,36.844,-2.37,21.3,1931-01-02,2021-06-01
2969,084880, 99999 ,ALMERIA                       ,SP   ,   ,      ,36.833,-2.467,7.0,2002-01-09,2018-05-30
2970,084890, 99999 ,NIJAR                         ,SP   ,   ,      ,36.833,-2.083,486.0,2004-08-17,2005-02-21
2971,084900, 99999 ,ALBORAN ISLAND                ,SP   ,   ,      ,35.933,-3.033,19.0,1973-01-01,2018-05-30
2972,084950, 99999 ,GIBRALTAR                     ,GI   ,   ,LXGB  ,36.150999999999996,-5.35,4.6,1958-01-01,2021-06-01
2973,085010, 99999 ,FLORES                        ,PO   ,   ,LPFL  ,39.455,-31.131,34.1,1978-12-01,2021-06-01
2974,085020, 99999 ,CORVO ISLAND AZORES           ,PO   ,   ,LPCR  ,39.67,-31.12,26.0,2003-10-23,2021-06-01
2975,085030, 99999 ,CORVO ISLAND                  ,AZ   ,   ,      ,39.667,-31.116999999999997,28.0,1948-01-11,1984-05-09
2976,085050, 99999 ,HORTA                         ,PO   ,   ,LPHR  ,38.52,-28.715999999999998,36.0,1976-02-01,2021-06-01
2977,085060, 99999 ,HORTA (ACORES)                ,PO   ,   ,      ,38.516999999999996,-28.633000000000003,62.0,1931-01-01,2021-06-01
2978,085070, 99999 ,GRACIOSA AERODROME            ,PO   ,   ,      ,39.1,-28.033,26.2,2018-02-05,2021-06-01
2979,085080, 99999 ,LAJES/SANTA RITA (ACORES)     ,PO   ,   ,      ,38.766999999999996,-27.066999999999997,113.0,1999-01-01,2005-05-04
2980,085090, 99999 ,LAJES                         ,PO   ,   ,LPLA  ,38.762,-27.090999999999998,54.9,1947-01-01,2021-06-01
2981,085095, 99999 ,SAO JORGE                     ,PO   ,   ,LPSJ  ,38.666,-28.176,94.8,2006-10-10,2021-06-01
2982,085110, 99999 ,ANGRA DO HEROISMO (ACORES)    ,PO   ,   ,      ,38.667,-27.217,76.0,1997-12-01,2021-06-01
2983,085120, 99999 ,PONTA DELGADA                 ,PO   ,   ,LPPD  ,37.741,-25.698,78.9,1931-01-03,2021-06-01
2984,085125, 99999 ,PICO                          ,PO   ,   ,LPPI  ,38.554,-28.441,33.2,2005-06-28,2021-06-01
2985,085130, 99999 ,PONTA DELGADA/OBS. (ACORES)   ,PO   ,   ,      ,37.75,-25.666999999999998,36.0,2002-04-16,2021-06-01
2986,085150, 99999 ,SANTA MARIA                   ,PO   ,   ,LPAZ  ,36.971,-25.171,93.9,1944-08-07,2021-06-01
2987,085155, 99999 ,GRACIOSA                      ,PO   ,   ,LPGR  ,39.092,-28.03,26.2,2005-07-19,2021-05-09
2988,085210, 99999 ,FUNCHAL/S.CATARINA            ,PO   ,   ,LPFU  ,32.683,-16.767,58.0,1948-01-11,2021-06-01
2989,085220, 99999 ,FUNCHAL                       ,PO   ,   ,      ,32.633,-16.9,56.0,1931-01-01,2021-06-01
2990,085240, 99999 ,PORTO SANTO                   ,PO   ,   ,LPPS  ,33.073,-16.35,103.9,1948-01-13,2021-06-01
2991,085300, 99999 ,CABO CARVOEIRO                ,PO   ,   ,      ,39.35,-9.4,34.0,1948-01-11,2011-10-09
2992,085305, 99999 ,ALVERCA (POR-AFB)             ,PO   ,   ,      ,38.883,-9.033,3.0,1973-06-23,1973-09-27
2993,085310, 99999 ,CABO CARVOEIRO                ,PO   ,   ,      ,39.35,-9.4,34.0,2007-08-22,2021-06-01
2994,085320, 99999 ,SINTRA                        ,PO   ,   ,LPST  ,38.830999999999996,-9.34,134.1,1990-10-01,2021-06-01
2995,085330, 99999 ,SAGRES                        ,PO   ,   ,      ,37.0,-8.95,26.0,2001-07-05,2021-06-01
2996,085340, 99999 ,MONTIJO                       ,PO   ,   ,LPMT  ,38.704,-9.036,14.0,1983-05-03,2021-06-01
2997,085350, 99999 ,LISBOA/GEOF                   ,PO   ,   ,      ,38.717,-9.15,95.0,1990-11-01,2021-06-01
2998,085360, 99999 ,LISBOA                        ,PO   ,   ,LPPT  ,38.781,-9.136000000000001,114.0,1931-01-03,2021-06-01
2999,085370, 99999 ,ALVERCA                       ,PO   ,   ,LPAR  ,38.883,-9.03,3.4,1999-01-04,2021-06-01
3000,085380, 99999 ,SAGRES                        ,PO   ,   ,      ,37.0,-8.95,25.0,1948-01-14,2002-05-19
3001,085390, 99999 ,OTA                           ,PO   ,   ,      ,39.117,-8.982999999999999,49.0,1990-11-05,2006-12-20
3002,085400, 99999 ,MONTE REAL                    ,PO   ,   ,LPMR  ,39.830999999999996,-8.887,57.0,1990-10-06,2021-06-01
3003,085410, 99999 ,SINES/MONTES CHAOS            ,PO   ,   ,      ,37.95,-8.867,103.0,1989-04-22,2021-06-01
3004,085420, 99999 ,SINES                         ,PO   ,   ,      ,37.95,-8.883,16.0,1980-04-01,1981-03-31
3005,085430, 99999 ,VIANA DO CASTELO              ,PO   ,   ,      ,41.7,-8.8,18.0,1948-01-11,2006-03-22
3006,085440, 99999 ,OVAR/MACEDA                   ,PO   ,   ,      ,40.917,-8.633,22.0,1990-11-01,2021-06-01
3007,085450, 99999 ,PORTO                         ,PO   ,   ,LPPR  ,41.248000000000005,-8.681000000000001,69.5,1931-01-03,2021-06-01
3008,085460, 99999 ,PORTO/SERRA DO PILAR          ,PO   ,   ,      ,41.133,-8.6,100.0,1990-10-06,2021-06-01
3009,085470, 99999 ,AVEIRO(PAFB)                  ,PO   ,   ,      ,40.65,-8.732999999999999,19.0,2001-11-04,2005-12-08
3010,085480, 99999 ,COIMBRA/CERNACHE              ,PO   ,   ,      ,40.15,-8.467,179.0,1996-08-01,2021-06-01
3011,085490, 99999 ,COIMBRA                       ,PO   ,   ,      ,40.2,-8.417,140.0,1948-01-11,2021-01-04
3012,085500, 99999 ,CORUCHE  CRUZ DO LE?O         ,PO   ,   ,      ,39.067,-8.4,167.0,2004-05-23,2006-03-23
3013,085510, 99999 ,VIANA DO CASTELO-CHAPE        ,PO   ,   ,      ,41.633,-8.8,48.0,2006-10-10,2021-06-01
3014,085520, 99999 ,TANCOS                        ,PO   ,   ,LPTN  ,39.475,-8.365,81.1,1990-10-06,2009-08-31
3015,085540, 99999 ,FARO                          ,PO   ,   ,LPFR  ,37.014,-7.966,7.3,1948-01-11,2021-06-01
3016,085550, 99999 ,FARO/CIDADE                   ,PO   ,   ,      ,37.016999999999996,-7.917000000000001,8.0,1997-12-01,2003-07-31
3017,085570, 99999 ,EVORA                         ,PO   ,   ,      ,38.567,-7.9,321.0,1948-01-12,2005-07-22
3018,085580, 99999 ,EVORA/C. COORD                ,PO   ,   ,      ,38.533,-7.9,246.0,1995-07-01,2021-06-01
3019,085581, 99999 ,OVAR                          ,PO   ,   ,LPOV  ,40.916,-8.646,17.1,2004-05-25,2021-06-01
3020,085600, 99999 ,VISEU                         ,PO   ,   ,      ,40.717,-7.882999999999999,644.0,1997-12-01,2021-06-01
3021,085610, 99999 ,BEJA/B. AEREA                 ,PO   ,   ,      ,38.067,-7.917000000000001,203.0,1997-12-01,2021-06-01
3022,085620, 99999 ,BEJA                          ,PO   ,   ,LPBJ  ,38.079,-7.932,193.9,1948-08-08,2021-06-01
3023,085660, 99999 ,VILA REAL                     ,PO   ,   ,      ,41.317,-7.733,481.0,1948-01-21,1992-03-24
3024,085670, 99999 ,VILA REAL                     ,PO   ,   ,LPVR  ,41.273999999999994,-7.72,550.2,1992-05-01,2021-06-01
3025,085680, 99999 ,PENHAS DOURADAS               ,PO   ,   ,      ,40.417,-7.55,1388.0,1948-01-13,2021-06-01
3026,085700, 99999 ,CASTELO BRANCO                ,PO   ,   ,      ,39.833,-7.483,384.0,1986-06-04,2021-06-01
3027,085710, 99999 ,PORTALEGRE                    ,PO   ,   ,      ,39.283,-7.417000000000001,590.0,1948-01-12,2021-06-01
3028,085750, 99999 ,BRAGANCA                      ,PO   ,   ,LPBG  ,41.86,-6.706,690.4,1948-01-12,2021-06-01
3029,085790, 99999 ,LISBOA/GAGO COUTINHO          ,PO   ,   ,      ,38.766999999999996,-9.133,105.0,1984-05-02,2021-06-01
3030,085830, 99999 ,MINDELO                       ,CV   ,   ,      ,16.833,-25.05,20.0,1931-01-03,2021-06-01
3031,085890, 99999 ,PRAIA                         ,CV   ,   ,      ,14.933,-23.483,95.0,1933-03-09,2021-06-01
3032,085940, 99999 ,AMILCAR CABRAL INTL           ,CV   ,   ,GVAC  ,16.741,-22.949,53.9,1948-03-04,2021-06-01
3033,085944, 99999 ,BOA VISTA RABIL               ,CV   ,   ,GVBA  ,16.137,-22.889,21.0,2008-09-02,2021-06-01
3034,085945, 99999 ,SAO PEDRO                     ,CV   ,   ,GVSV  ,16.834,-25.057,20.1,2007-10-04,2021-06-01
3035,085950, 99999 ,FRANCISCO MENDES              ,CV   ,   ,GVFM  ,14.924000000000001,-23.494,230.0,2004-10-02,2012-03-18
3036,089110, 99999 ,ARAGUES DEL PUERTO- LIZARRA   ,SP   ,   ,      ,42.766999999999996,-0.633,1540.0,2019-12-11,2021-06-01
3037,089120, 99999 ,ISABA EL FERIAL               ,SP   ,   ,      ,42.95,-0.8,1591.0,2015-12-07,2021-05-08
3038,089130, 99999 ,ANSO REFUGIO DE LINZA         ,SP   ,   ,      ,42.9,-0.8,1340.0,2019-12-11,2021-06-01
3039,089140, 99999 ,CANDANCHU  'ETUKSA'           ,SP   ,   ,      ,42.783,-0.5329999999999999,1560.0,2003-10-16,2020-12-18
3040,089160, 99999 ,ASTUN  'ESQUI 1730'           ,SP   ,   ,      ,42.817,-0.5,1730.0,2019-12-19,2021-06-01
3041,089170, 99999 ,SALLENT DE GALLEGO   'FURCO'  ,SP   ,   ,      ,42.766999999999996,-0.38299999999999995,1855.0,2006-02-01,2020-03-21
3042,089180, 99999 ,SALLENT DE GALLEGO   'FORMIGA ,SP   ,   ,      ,42.766999999999996,-0.36700000000000005,1500.0,2019-12-12,2021-06-01
3043,089200, 99999 ,SALLENT DE GALLEGO   'RESPOMU ,SP   ,   ,      ,42.817,-0.3,2145.0,2005-11-01,2021-06-01
3044,089220, 99999 ,PANTICOSA  'REFUGIO CASA PIED ,SP   ,   ,      ,42.766999999999996,-0.233,1645.0,2005-01-11,2021-06-01
3045,089240, 99999 ,PANTICOSA ESQUI               ,SP   ,   ,      ,42.7,-0.28300000000000003,1830.0,2019-12-11,2020-11-16
3046,089250, 99999 ,ERISTE REFUGIO ANGEL ORUS     ,SP   ,   ,      ,42.633,0.45,2115.0,2019-12-11,2021-06-01
3047,089260, 99999 ,FANLO  'REFUGIO DE GORIZ'     ,SP   ,   ,      ,42.667,0.017,2195.0,2019-12-11,2021-06-01
3048,089270, 99999 ,BIELSA REFUGIO DE PINETA      ,SP   ,   ,      ,42.667,0.1,1240.0,2019-12-11,2021-06-01
3049,089280, 99999 ,BENASQUE  'REFUGIO DE ESTOS'  ,SP   ,   ,      ,42.683,0.483,1890.0,2019-12-11,2021-06-01
3050,089300, 99999 ,CERLER ESQUI COTA 2000        ,SP   ,   ,      ,42.567,0.55,2020.0,2019-12-12,2020-03-13
3051,089360, 99999 ,CAP DE VAQUEIRA               ,SP   ,   ,      ,42.7,0.9670000000000001,2467.0,2021-05-27,2021-06-01
3052,089380, 99999 ,PORT AINE L'ORRI              ,SP   ,   ,      ,42.417,1.217,2410.0,2021-05-27,2021-06-01
3053,089400, 99999 ,CAP DE RAC                    ,SP   ,   ,      ,42.433,1.6669999999999998,1940.0,2021-05-27,2021-06-01
3054,089480, 99999 ,VALLTER 2000                  ,SP   ,   ,      ,42.433,2.267,2167.0,2003-10-17,2005-11-28
3055,089580, 99999 ,CAMARENA DE LA SIERRA         ,SP   ,   ,      ,40.117,-1.033,1520.0,2019-12-12,2020-10-21
3056,089600, 99999 ,VALDELINARES  'ESQUI'         ,SP   ,   ,      ,40.383,-0.633,1955.0,2003-12-22,2021-06-01
3057,090910, 99999 ,ARKONA (CAPE)     &           ,GM   ,   ,      ,54.683,13.433,42.0,1975-07-01,2002-07-29
3058,090930, 99999 ,BOGUS GERMAN                  ,GM   ,   ,      ,,,,1990-12-03,1991-10-31
3059,091610, 99999 ,BOLTENHAGEN       &           ,GM   ,   ,      ,54.0,11.2,15.0,1975-07-01,1991-10-31
3060,091620, 99999 ,SCHWERIN          &           ,GM   ,   ,      ,53.633,11.417,59.0,1975-07-01,1992-05-17
3061,091680, 99999 ,BOGUS GERMAN                  ,GM   ,   ,      ,,,,1990-12-03,1991-10-30
3062,091700, 99999 ,WARNEMUENDE                   ,GM   ,   ,      ,54.183,12.083,4.0,1975-07-01,2001-11-21
3063,091770, 99999 ,TETEROW           &           ,GM   ,   ,      ,53.766999999999996,12.617,46.0,1975-07-01,1991-10-31
3064,091800, 99999 ,BARTH                         ,GM   ,   ,ETBH  ,54.333,12.717,7.0,1979-11-06,1991-10-31
3065,091810, 99999 ,PAROW                         ,GM   ,   ,ETPA  ,54.367,13.083,4.0,1991-05-06,1991-10-09
3066,091840, 99999 ,GREIFSWALD        &           ,GM   ,   ,      ,54.1,13.383,2.0,1977-12-03,2002-04-21
3067,091850, 99999 ,GRIEFSWALD/WIECK              ,GM   ,   ,      ,54.1,13.45,2.0,1975-07-01,1978-01-10
3068,091930, 99999 ,UECKERMUENDE (AUT)            ,GM   ,   ,      ,53.75,14.067,1.0,1975-07-01,2002-05-18
3069,092490, 99999 ,BOIZENBURG (AUT)  &           ,GM   ,   ,      ,53.383,10.717,45.0,1975-07-01,1991-10-31
3070,092610, 99999 ,SEEHAUSEN/ALTMARK             ,GM   ,   ,      ,52.9,11.732999999999999,0.0,1976-10-07,1992-05-16
3071,092620, 99999 ,WITTENBERGE       &           ,GM   ,   ,      ,53.033,11.8,24.0,1975-07-01,1977-03-23
3072,092640, 99999 ,MARNITZ (AUT)     &           ,GM   ,   ,      ,53.317,11.933,81.0,1976-10-01,1991-10-31
3073,092670, 99999 ,BOGUS GERMAN                  ,GM   ,   ,      ,,,,1990-10-05,1991-10-31
3074,092700, 99999 ,NEURUPPIN         &           ,GM   ,   ,      ,52.9,12.817,38.0,1975-07-01,1991-10-31
3075,092770, 99999 ,NEUGLOBSOW                    ,GM   ,   ,      ,53.15,13.033,62.0,1991-02-06,1991-10-31
3076,092790, 99999 ,NEUSTRELITZ       &           ,GM   ,   ,      ,53.35,13.083,64.0,1975-07-01,2001-08-03
3077,092800, 99999 ,NEUBRANDENBURG                ,GM   ,   ,      ,53.6,13.317,79.0,1976-07-01,1991-10-31
3078,092810, 99999 ,NEUBRANDENBURG/TROL           ,GM   ,   ,ETNB  ,53.6,13.317,71.0,1991-04-21,1991-10-27
3079,092890, 99999 ,BOGUS GERMAN                  ,GM   ,   ,      ,,,,1990-10-01,1991-10-31
3080,092910, 99999 ,ANGERMUENDE                   ,GM   ,   ,      ,53.016999999999996,14.0,48.0,1975-07-01,1991-10-31
3081,093560, 99999 ,BOGUS GERMAN                  ,GM   ,   ,      ,,,,1990-11-01,1991-10-31
3082,093590, 99999 ,GARDELEGEN (AUT)  &           ,GM   ,   ,      ,52.516999999999996,11.4,47.0,1975-07-01,1991-10-31
3083,093610, 99999 ,MAGDEBURG         &           ,GM   ,   ,ETMG  ,52.1,11.583,79.0,1975-07-01,1992-05-16
3084,093650, 99999 ,BOGUS GERMAN                  ,GM   ,   ,      ,,,,1991-07-01,1991-10-30
3085,093680, 99999 ,BOGUS GERMAN                  ,GM   ,   ,      ,,,,1990-11-01,1991-10-31
3086,093790, 99999 ,POTSDAM           &           ,GM   ,   ,      ,52.383,13.067,81.0,1975-07-01,1992-05-17
3087,093810, 99999 ,                              ,     ,   ,      ,,,,1975-07-28,1975-07-28
